"lfp","whrs","kl6","k618","wa","we"
1,3087,0,0,49,17
1,910,0,2,41,14
1,1840,0,1,51,12
1,784,0,0,53,9
1,400,1,2,36,12
1,1000,0,2,46,12
1,1904,0,2,36,12
1,1771,0,1,53,14
1,1486,0,3,40,16
0,0,0,4,36,12
0,0,1,3,35,12
0,0,0,0,58,12
0,0,1,3,41,14
0,0,0,1,51,10
0,0,0,0,47,12
0,0,1,2,45,9
0,0,0,0,60,14
0,0,1,1,30,16
0,0,0,0,55,11
0,0,1,2,32,12
0,0,0,2,36,12
0,0,0,0,55,12
0,0,0,0,47,12
0,0,0,1,47,12
0,0,0,1,37,11
0,0,0,2,50,12
0,0,0,3,30,12
0,0,0,1,48,17
0,0,0,2,43,10
0,0,1,0,48,11
0,0,1,2,41,14
0,0,0,0,50,12
0,0,0,0,58,8
0,0,0,5,38,13
0,0,0,1,37,12
0,0,0,0,50,16
0,0,0,4,42,8
0,0,1,3,37,9
0,0,0,2,41,16
0,0,0,2,31,12
0,0,0,0,51,12
0,0,1,2,36,12
0,0,0,0,54,15
0,0,0,0,49,12
0,0,1,1,48,9
0,0,0,2,42,9
0,0,1,2,41,12
0,0,0,0,55,16
0,0,0,0,42,9
0,0,0,1,32,15
0,0,0,2,43,12
0,0,1,3,33,12
0,0,0,1,48,15
0,0,0,2,43,12
0,0,1,3,47,17
0,0,0,0,54,12
0,0,0,1,51,12
0,0,0,1,51,10
0,0,1,1,43,13
0,0,0,0,53,12
0,0,1,1,34,11
0,0,1,1,31,8
0,0,0,0,56,12
0,0,0,1,42,16
0,0,0,2,32,12
0,0,1,3,35,12
0,0,1,1,30,12
0,0,0,0,51,10
0,0,0,3,47,12
0,0,0,1,54,12
0,0,3,0,31,15
0,0,0,0,47,10
0,0,0,3,47,14
0,0,0,3,40,12
0,0,0,0,48,8
0,0,0,7,34,8
0,0,0,3,38,12
0,0,1,3,32,12
0,0,0,1,48,16
0,0,0,2,41,12
0,0,0,2,49,5
0,0,0,0,59,8
0,0,0,0,58,13
0,0,0,3,41,12
0,0,0,2,45,12
0,0,1,1,30,14
0,0,0,1,41,12
0,0,2,0,30,12
0,0,0,1,53,12
0,0,0,0,31,12
0,0,0,2,43,14
0,0,1,1,31,12
0,0,0,0,51,12
0,0,0,0,43,9
0,0,1,2,31,14
0,0,0,0,48,11
0,0,1,1,31,12
0,0,0,1,44,12
0,0,0,1,48,11
0,0,0,1,53,12
0,0,0,3,42,10
0,0,2,6,39,12
0,0,1,2,32,10
0,0,0,2,36,12
0,0,0,2,40,13
0,0,2,3,31,12
0,0,0,0,43,12
0,0,0,0,60,12
0,0,0,3,39,9
