"","town","tract","longitude","latitude","value","cmedv","crime","residential","industrial","river","nox","rooms","older","distance","highway","tax","ptratio","lstat","black"
"44","Peabody",2103,-70.9775009,42.3237,24.7000008,24.7000008,0.159360006,0,6.90999985,"no",0.448000014,6.21099997,6.5,5.72090006,3,233,17.8999996,7.44000006,0.193949923
"45","Peabody",2104,-70.9674988,42.3170013,21.2000008,21.2000008,0.12269,0,6.90999985,"no",0.448000014,6.06899977,40,5.72090006,3,233,17.8999996,9.55000019,0.598876476
"46","Peabody",2105,-70.9725037,42.3074989,19.2999992,19.2999992,0.171419993,0,6.90999985,"no",0.448000014,5.68200016,33.7999992,5.10039997,3,233,17.8999996,10.21,0
"47","Peabody",2106,-70.9649963,42.3074989,20,20,0.188360006,0,6.90999985,"no",0.448000014,5.78599977,33.2999992,5.10039997,3,233,17.8999996,14.1499996,0
"48","Peabody",2107,-70.9560013,42.3125,16.6000004,16.6000004,0.229269996,0,6.90999985,"no",0.448000014,6.03000021,85.5,5.6894002,3,233,17.8999996,18.7999992,0.331029892
"49","Peabody",2108,-70.9550018,42.3165016,14.3999996,14.3999996,0.25387001,0,6.90999985,"no",0.448000014,5.39900017,95.3000031,5.86999989,3,233,17.8999996,30.8099995,0
"50","Peabody",2109,-70.9524994,42.3208008,19.3999996,19.3999996,0.219769999,0,6.90999985,"no",0.448000014,5.60200024,62,6.08769989,3,233,17.8999996,16.2000008,0
"51","Danvers",2111,-70.9509964,42.3339996,19.7000008,19.7000008,0.08873,21,5.63999987,"no",0.43900001,5.96299982,45.7000008,6.81470013,4,243,16.7999992,13.4499998,0.106439412
"52","Danvers",2112,-70.9629974,42.3381996,20.5,20.5,0.043370001,21,5.63999987,"no",0.43900001,6.11499977,63,6.81470013,4,243,16.7999992,9.43000031,0.232969433
"53","Danvers",2113,-70.9580002,42.3460007,25,25,0.0535999984,21,5.63999987,"no",0.43900001,6.51100016,21.1000004,6.81470013,4,243,16.7999992,5.28000021,0
"54","Danvers",2114,-70.9779968,42.3424988,23.3999996,23.3999996,0.0498099998,21,5.63999987,"no",0.43900001,5.99800014,21.3999996,6.81470013,4,243,16.7999992,8.43000031,0
"55","Middleton",2121,-71.0175018,42.3714981,18.8999996,18.8999996,0.0136000002,75,4,"no",0.409999996,5.88800001,47.5999985,7.31969976,3,469,21.1000004,14.8000002,0
"56","Topsfield",2141,-70.9625015,42.3810005,35.4000015,35.4000015,0.0131099997,90,1.22000003,"no",0.402999997,7.24900007,21.8999996,8.69659996,5,226,17.8999996,4.80999994,0.0770318434
"57","Hamilton",2151,-70.9300003,42.3740005,24.7000008,24.7000008,0.0205499995,85,0.74000001,"no",0.409999996,6.3829999,35.7000008,9.18760014,2,313,17.2999992,5.76999998,0
"58","Wenham",2161,-70.9294968,42.3714981,31.6000004,31.6000004,0.0143200001,100,1.32000005,"no",0.411000013,6.81599998,40.5,8.32479954,5,256,15.1000004,3.95000005,0.318265021
"59","Beverly",2171,-70.9384995,42.3460007,23.2999992,23.2999992,0.154449999,25,5.13000011,"no",0.453000009,6.14499998,29.2000008,7.81479979,8,284,19.7000008,6.86000013,0.495601326
"60","Beverly",2172,-70.9400024,42.3320007,19.6000004,19.6000004,0.10328,25,5.13000011,"no",0.453000009,5.92700005,47.2000008,6.93200016,8,284,19.7000008,9.22000027,0
"61","Beverly",2173,-70.9300003,42.3370018,18.7000008,18.7000008,0.149320006,25,5.13000011,"no",0.453000009,5.74100018,66.1999969,7.22539997,8,284,19.7000008,13.1499996,0.142225519
"62","Beverly",2174,-70.9300003,42.3274994,16,16,0.171709999,25,5.13000011,"no",0.453000009,5.96600008,93.4000015,6.81850004,8,284,19.7000008,14.4399996,1.51179135
"63","Beverly",2175,-70.9215012,42.3320007,22.2000008,22.2000008,0.110270001,25,5.13000011,"no",0.453000009,6.45599985,67.8000031,7.22550011,8,284,19.7000008,6.73000002,0
"64","Beverly",2176,-70.9075012,42.3390007,25,25,0.126499996,25,5.13000011,"no",0.453000009,6.76200008,43.4000015,7.98089981,8,284,19.7000008,9.5,0.104849651
"65","Manchester",2181,-70.8600006,42.3450012,33,33,0.0195099991,17.5,1.38,"no",0.416099995,7.10400009,59.5,9.22290039,3,216,18.6000004,8.05000019,0.291148573
"66","North Reading",3301,-71.0449982,42.3450012,23.5,23.5,0.035840001,80,3.36999989,"no",0.398000002,6.28999996,17.7999992,6.61149979,4,337,16.1000004,4.67000008,0
"67","North Reading",3302,-71.0690002,42.3525009,19.3999996,19.3999996,0.0437900014,80,3.36999989,"no",0.398000002,5.78700018,31.1000004,6.61149979,4,337,16.1000004,10.2399998,0
"68","Wilmington",3311,-71.0899963,42.3362007,22,22,0.0578900017,12.5,6.07000017,"no",0.409000009,5.87799978,21.3999996,6.49800014,4,345,18.8999996,8.10000038,0.0547869168
"69","Wilmington",3312,-71.1080017,42.3400002,17.3999996,17.3999996,0.135539994,12.5,6.07000017,"no",0.409000009,5.59399986,36.7999992,6.49800014,4,345,18.8999996,13.0900002,0
"70","Wilmington",3313,-71.1110001,42.3269997,20.8999996,20.8999996,0.12816,12.5,6.07000017,"no",0.409000009,5.88500023,33,6.49800014,4,345,18.8999996,8.78999996,0
"71","Burlington",3321,-71.1210022,42.3160019,24.2000008,24.2000008,0.0882600024,0,10.8100004,"no",0.412999988,6.41699982,6.5999999,5.28730011,4,305,19.2000008,6.71999979,1.0540539
"72","Burlington",3322,-71.1094971,42.3008003,21.7000008,21.7000008,0.158759996,0,10.8100004,"no",0.412999988,5.96099997,17.5,5.28730011,4,305,19.2000008,9.88000011,1.60455942
"73","Burlington",3323,-71.1299973,42.3050003,22.7999992,22.7999992,0.091640003,0,10.8100004,"no",0.412999988,6.06500006,7.80000019,5.28730011,4,305,19.2000008,5.51999998,0.477204174
"74","Burlington",3324,-71.1230011,42.2919998,23.3999996,23.3999996,0.195390001,0,10.8100004,"no",0.412999988,6.24499989,6.19999981,5.28730011,4,305,19.2000008,7.53999996,1.58583009
"75","Woburn",3331,-71.1104965,42.2890015,24.1000004,24.1000004,0.0789600015,0,12.8299999,"no",0.437000006,6.27299976,6,4.25150013,5,398,18.7000008,6.78000021,0.157337636
"76","Woburn",3332,-71.0999985,42.2874985,21.3999996,21.3999996,0.0951199979,0,12.8299999,"no",0.437000006,6.28599977,45,4.50260019,5,398,18.7000008,8.93999958,1.09442663
"77","Woburn",3333,-71.0899963,42.2835007,20,20,0.101530001,0,12.8299999,"no",0.437000006,6.27899981,74.5,4.05219984,5,398,18.7000008,11.9700003,1.87226498
"78","Woburn",3334,-71.0759964,42.2895012,20.7999992,20.7999992,0.0870700032,0,12.8299999,"no",0.437000006,6.13999987,45.7999992,4.09049988,5,398,18.7000008,10.2700005,0.793891013
"79","Woburn",3335,-71.0904999,42.2949982,21.2000008,21.2000008,0.0564600006,0,12.8299999,"no",0.437000006,6.23199987,53.7000008,5.01410007,5,398,18.7000008,12.3400002,0.838920176
"80","Woburn",3336,-71.0910034,42.3050003,20.2999992,20.2999992,0.0838700011,0,12.8299999,"no",0.437000006,5.87400007,36.5999985,4.50260019,5,398,18.7000008,9.10000038,0.0667027757
"81","Reading",3341,-71.0684967,42.3079987,28,28,0.0411299989,25,4.86000013,"no",0.425999999,6.72700024,33.5,5.40070009,4,281,19,5.28999996,0
"82","Reading",3342,-71.0690002,42.3149986,23.8999996,23.8999996,0.0446199998,25,4.86000013,"no",0.425999999,6.61899996,70.4000015,5.40070009,4,281,19,7.21999979,0.100874253
"83","Reading",3343,-71.0674973,42.3260002,24.7999992,24.7999992,0.0365899988,25,4.86000013,"no",0.425999999,6.30200005,32.2000008,5.40070009,4,281,19,6.71999979,0
"84","Reading",3344,-71.0575027,42.3170013,22.8999996,22.8999996,0.0355099998,25,4.86000013,"no",0.425999999,6.16699982,46.7000008,5.40070009,4,281,19,7.51000023,0.49879837
"85","Wakefield",3351,-71.0429993,42.3074989,23.8999996,23.8999996,0.050590001,0,4.48999977,"no",0.449000001,6.38899994,48,4.77939987,3,247,18.5,9.61999989,0
"86","Wakefield",3352,-71.0500031,42.2999992,26.6000004,26.6000004,0.0573499985,0,4.48999977,"no",0.449000001,6.63000011,56.0999985,4.43769979,3,247,18.5,6.53000021,0.366144955
"87","Wakefield",3353,-71.0329971,42.3050003,22.5,22.5,0.0518799983,0,4.48999977,"no",0.449000001,6.01499987,45.0999985,4.42719984,3,247,18.5,12.8599997,0.0722649172
"88","Wakefield",3354,-71.0390015,42.2885017,22.2000008,22.2000008,0.071510002,0,4.48999977,"no",0.449000001,6.12099981,56.7999992,3.74760008,3,247,18.5,8.43999958,0.139041856
"89","Melrose",3361,-71.0419998,42.2795982,23.6000004,23.6000004,0.0566000007,0,3.41000009,"no",0.488999993,7.00699997,86.3000031,3.4217,2,270,17.7999992,5.5,0
"90","Melrose",3362,-71.0345001,42.2784996,28.7000008,28.7000008,0.0530200005,0,3.41000009,"no",0.488999993,7.079,63.0999985,3.4145,2,270,17.7999992,5.69999981,0.0667027757
"91","Melrose",3363,-71.0299988,42.2719994,22.6000004,22.6000004,0.0468400009,0,3.41000009,"no",0.488999993,6.41699982,66.0999985,3.09229994,2,270,17.7999992,8.81000042,0.375723898
"92","Melrose",3364,-71.0425034,42.2714996,22,22,0.0393199995,0,3.41000009,"no",0.488999993,6.40500021,73.9000015,3.09209991,2,270,17.7999992,8.19999981,0.266438097
"93","Stoneham",3371,-71.0530014,42.2830009,22.8999996,22.8999996,0.0420299992,28,15.04,"no",0.463999987,6.44199991,53.5999985,3.66589999,4,270,18.2000008,8.15999985,0.150177062
"94","Stoneham",3372,-71.0619965,42.2960014,25,25,0.0287500005,28,15.04,"no",0.463999987,6.21099997,28.8999996,3.66589999,4,270,18.2000008,6.21000004,0.0452544317
"95","Stoneham",3373,-71.0615005,42.2840004,20.6000004,20.6000004,0.0429399982,28,15.04,"no",0.463999987,6.24900007,77.3000031,3.61500001,4,270,18.2000008,10.5900002,0
"96","Winchester",3381,-71.0759964,42.2775002,28.3999996,28.3999996,0.122040004,0,2.8900001,"no",0.444999993,6.625,57.7999992,3.49519992,2,276,18,6.6500001,3.16856909
"97","Winchester",3382,-71.0849991,42.2775002,21.3999996,21.3999996,0.115039997,0,2.8900001,"no",0.444999993,6.16300011,69.5999985,3.49519992,2,276,18,11.3400002,0.403674453
"98","Winchester",3383,-71.0889969,42.2714996,38.7000008,38.7000008,0.120829999,0,2.8900001,"no",0.444999993,8.06900024,76,3.49519992,2,276,18,4.21000004,0
"99","Winchester",3384,-71.0981979,42.2685013,43.7999992,43.7999992,0.0818699971,0,2.8900001,"no",0.444999993,7.82000017,36.9000015,3.49519992,2,276,18,3.56999993,0.2680296
"100","Winchester",3385,-71.0800018,42.2680016,33.2000008,33.2000008,0.068599999,0,2.8900001,"no",0.444999993,7.41599989,62.5,3.49519992,2,276,18,6.19000006,0
"101","Medford",3391,-71.066803,42.2545013,27.5,27.5,0.148660004,0,8.56000042,"no",0.519999981,6.72700024,79.9000015,2.77780008,5,384,20.8999996,9.42000008,0.170069829
"102","Medford",3392,-71.0810013,42.2449989,26.5,26.5,0.114320002,0,8.56000042,"no",0.519999981,6.78100014,71.3000031,2.85610008,5,384,20.8999996,7.67000008,0.104849651
"103","Medford",3393,-71.0811996,42.2514992,18.6000004,18.6000004,0.228760004,0,8.56000042,"no",0.519999981,6.40500021,85.4000015,2.71469998,5,384,20.8999996,10.6300001,36.3917313
"104","Medford",3394,-71.0770035,42.2490005,19.2999992,19.2999992,0.211610004,0,8.56000042,"no",0.519999981,6.13700008,87.4000015,2.71469998,5,384,20.8999996,13.4399996,0.193152741
"105","Medford",3395,-71.0690002,42.2480011,20.1000004,20.1000004,0.139599994,0,8.56000042,"no",0.519999981,6.16699982,90,2.421,5,384,20.8999996,12.3299999,0.335017532
"106","Medford",3396,-71.0662003,42.2425003,19.5,19.5,0.132620007,0,8.56000042,"no",0.519999981,5.85099983,96.6999969,2.10689998,5,384,20.8999996,16.4699993,0.226597816
"107","Medford",3397,-71.0622025,42.2430992,19.5,19.5,0.171200007,0,8.56000042,"no",0.519999981,5.83599997,91.9000015,2.21099997,5,384,20.8999996,18.6599998,0.0976926833
"108","Medford",3398,-71.0552979,42.2464981,20.3999996,20.3999996,0.131170005,0,8.56000042,"no",0.519999981,6.12699986,85.1999969,2.12240005,5,384,20.8999996,14.0900002,0.735242069
"109","Medford",3399,-71.0550003,42.2504997,19.7999992,19.7999992,0.128020003,0,8.56000042,"no",0.519999981,6.47399998,97.0999985,2.43289995,5,384,20.8999996,12.2700005,0.131885737
"110","Medford",3400,-71.0599976,42.2540016,19.3999996,19.3999996,0.263630003,0,8.56000042,"no",0.519999981,6.22900009,91.1999969,2.54509997,5,384,20.8999996,15.5500002,0.45161736
"111","Medford",3401,-71.0559998,42.2605019,21.7000008,21.7000008,0.107929997,0,8.56000042,"no",0.519999981,6.19500017,54.4000015,2.77780008,5,384,20.8999996,13,0.27121979
"112","Malden",3411,-71.0475006,42.2610016,22.7999992,22.7999992,0.100840002,0,10.0100002,"no",0.546999991,6.71500015,81.5999985,2.67750001,6,432,17.7999992,10.1599998,0.104053602
"113","Malden",3412,-71.0490036,42.2529984,18.7999992,18.7999992,0.123290002,0,10.0100002,"no",0.546999991,5.91300011,92.9000015,2.35339999,6,432,17.7999992,16.2099991,0.154952273
"114","Malden",3413,-71.0428009,42.2579994,18.7000008,18.7000008,0.222120002,0,10.0100002,"no",0.546999991,6.09200001,95.4000015,2.5480001,6,432,17.7999992,17.0900002,0
"115","Malden",3414,-71.0395966,42.2512016,18.5,18.5,0.142309994,0,10.0100002,"no",0.546999991,6.25400019,84.1999969,2.25650001,6,432,17.7999992,10.4499998,0.650982141
"116","Malden",3415,-71.0354996,42.2545013,18.2999992,18.2999992,0.171340004,0,10.0100002,"no",0.546999991,5.92799997,88.1999969,2.46309996,6,432,17.7999992,15.7600002,4.27096176
"117","Malden",3416,-71.0360031,42.2607994,21.2000008,21.2000008,0.131579995,0,10.0100002,"no",0.546999991,6.17600012,72.5,2.73009992,6,432,17.7999992,12.04,0.28636536
"118","Malden",3417,-71.0285034,42.262001,19.2000008,19.2000008,0.150979996,0,10.0100002,"no",0.546999991,6.02099991,82.5999985,2.74740005,6,432,17.7999992,10.3000002,0.189968884
"119","Malden",3418,-71.0285034,42.2579994,20.3999996,20.3999996,0.130579993,0,10.0100002,"no",0.546999991,5.87200022,73.0999985,2.47749996,6,432,17.7999992,15.3699999,4.80807686
"120","Malden",3419,-71.0189972,42.2605019,19.2999992,19.2999992,0.144759998,0,10.0100002,"no",0.546999991,5.73099995,65.1999969,2.7592001,6,432,17.7999992,13.6099997,0.430039465
"121","Everett",3421,-71.0242996,42.2482986,22,22,0.0689899996,0,25.6499996,"no",0.58099997,5.86999989,69.6999969,2.25769997,2,188,19.1000004,14.3699999,0.618112087
"122","Everett",3422,-71.0311966,42.2504997,20.2999992,20.2999992,0.0716499984,0,25.6499996,"no",0.58099997,6.00400019,84.0999985,2.19740009,2,188,19.1000004,14.2700005,1.54513693
"123","Everett",3423,-71.0376968,42.2470016,20.5,20.5,0.0929900035,0,25.6499996,"no",0.58099997,5.96099997,92.9000015,2.0869,2,188,19.1000004,17.9300003,1.51097703
"124","Everett",3424,-71.0370026,42.2434998,17.2999992,17.2999992,0.15038,0,25.6499996,"no",0.58099997,5.85599995,97,1.94439995,2,188,19.1000004,25.4099998,2.14689755
"125","Everett",3425,-71.0307999,42.2449989,18.7999992,18.7999992,0.0984899998,0,25.6499996,"no",0.58099997,5.87900019,95.8000031,2.00629997,2,188,19.1000004,17.5799999,1.40616775
"126","Everett",3426,-71.0261993,42.2430992,21.3999996,21.3999996,0.169019997,0,25.6499996,"no",0.58099997,5.98600006,88.4000015,1.99290001,2,188,19.1000004,14.8100004,0.950021148
"127","Everett",3427,-71.0333023,42.2394981,15.6999998,15.6999998,0.387349993,0,25.6499996,"no",0.58099997,5.61299992,95.5999985,1.7572,2,188,19.1000004,27.2600002,3.05919552
"128","Somerville",3501,-71.0530014,42.2355003,16.2000008,16.2000008,0.259149998,0,21.8899994,"no",0.624000013,5.69299984,96,1.78830004,4,437,21.2000008,17.1900005,0.381313473
"129","Somerville",3502,-71.0579987,42.2350006,18,18,0.325430006,0,21.8899994,"no",0.624000013,6.43100023,98.8000031,1.8125,4,437,21.2000008,15.3900003,0
"130","Somerville",3503,-71.063797,42.2368011,14.3000002,14.3000002,0.881250024,0,21.8899994,"no",0.624000013,5.63700008,94.6999969,1.9799,4,437,21.2000008,18.3400002,0
"131","Somerville",3504,-71.0691986,42.2389984,19.2000008,19.2000008,0.340059996,0,21.8899994,"no",0.624000013,6.45800018,98.9000015,2.11849999,4,437,21.2000008,12.6000004,0.147791967
"132","Somerville",3505,-71.0749969,42.2400017,19.6000004,19.6000004,1.19294,0,21.8899994,"no",0.624000013,6.32600021,97.6999969,2.27099991,4,437,21.2000008,12.2600002,0
"133","Somerville",3506,-71.074501,42.2405014,23,23,0.590049982,0,21.8899994,"no",0.624000013,6.37200022,97.9000015,2.32739997,4,437,21.2000008,11.1199999,0.890418649
"134","Somerville",3507,-71.0790024,42.2449989,18.3999996,18.3999996,0.329820007,0,21.8899994,"no",0.624000013,5.82200003,95.4000015,2.46989989,4,437,21.2000008,15.0299997,0.65499258
"135","Somerville",3508,-71.0759964,42.2405014,15.6000004,15.6000004,0.976170003,0,21.8899994,"no",0.624000013,5.75699997,98.4000015,2.34599996,4,437,21.2000008,17.3099995,11.7398777
"136","Somerville",3509,-71.0749969,42.2361984,18.1000004,18.1000004,0.557780027,0,21.8899994,"no",0.624000013,6.33500004,98.1999969,2.11069989,4,437,21.2000008,16.9599991,0.177232668
"137","Somerville",3510,-71.0677032,42.2335014,17.3999996,17.3999996,0.322640002,0,21.8899994,"no",0.624000013,5.94199991,93.5,1.96689999,4,437,21.2000008,16.8999996,1.49796724
"138","Somerville",3511,-71.0630035,42.2324982,17.1000004,17.1000004,0.352329999,0,21.8899994,"no",0.624000013,6.454,98.4000015,1.84979999,4,437,21.2000008,14.5900002,0.22420983
"139","Somerville",3512,-71.0619965,42.2275009,13.3000002,13.3000002,0.249799997,0,21.8899994,"no",0.624000013,5.85699987,98.1999969,1.66859996,4,437,21.2000008,21.3199997,0.3869012
"140","Somerville",3513,-71.0568008,42.2299995,17.7999992,17.7999992,0.54452002,0,21.8899994,"no",0.624000013,6.15100002,97.9000015,1.66869998,4,437,21.2000008,18.4599991,0
"141","Somerville",3514,-71.0518036,42.2312012,14,14,0.290899992,0,21.8899994,"no",0.624000013,6.17399979,93.5999985,1.61189997,4,437,21.2000008,24.1599998,0.703932643
"142","Somerville",3515,-71.0542984,42.2265015,14.3999996,14.3999996,1.62864006,0,21.8899994,"no",0.624000013,5.01900005,100,1.43939996,4,437,21.2000008,34.4099998,0
"143","Cambridge",3521,-71.0479965,42.2221985,13.3999996,13.3999996,3.32104993,0,19.5799999,"yes",0.870999992,5.40299988,100,1.32159996,5,403,14.6999998,26.8199997,0
"144","Cambridge",3522,-71.0519028,42.2229996,15.6000004,15.6000004,4.09740019,0,19.5799999,"no",0.870999992,5.46799994,100,1.41180003,5,403,14.6999998,26.4200001,0
"145","Cambridge",3523,-71.0510025,42.2205009,11.8000002,11.8000002,2.7797401,0,19.5799999,"no",0.870999992,4.90299988,97.8000031,1.34590006,5,403,14.6999998,29.2900009,0
"146","Cambridge",3524,-71.0540009,42.2190018,13.8000002,13.8000002,2.37933993,0,19.5799999,"no",0.870999992,6.13000011,100,1.41910005,5,403,14.6999998,27.7999992,21.417551
